'id';'lineEnd';'commaSep';'opAssign';'colonSep';'tInt';'tFloat';'tBool';'tChar';'tString';'arrayBeg';'arrayEnd';'consNumInt';'consNumFlo';'consBool';'consChar';'consString';'arraybeg';'opLogicOr';'opLogicAnd';'opEquals';'opRel';'opPlus';'opMinus';'opMult';'opExp';'paramBeg';'paramEnd';'opUnMinus';'opNot';'rwLength';'rwWhile';'rwFor';'rwIf';'rwElif';'rwElse';'rwPrint';'rwRead';'main';'rwVoid';'scopeBeg';'scopeEnd';'rwReturn';$
;;s140;;;;;;;;;s139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;r49;;;;;;;;;r49;;;;;;;;;;;;;;;;r49;;;;;;;;;;;;;;;;
;;s141;;;;;;;;;;;;;;;;;;;;;;;;;r76;;;;;;;;;;;;;;;;
;;;;;;;;;;;s142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r81;r81;r81;r81;r81;r81;r81;r81;;;r81;r81;r81
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r82;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r84;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r86;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r88;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r90;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r92;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r94;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r96;;
;s143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s51;;;;;;;;;;;;s54;s55;s56;s57;s58;s60;;;;;;;;;s47;;s49;s50;s52;;;;;;;;;;;;;
;;;s145;;;;;;;s134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;s146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s32;;;
s149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s32;;;
;;;;;;;;;;;;;;;;s151;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;s152;;;;;;;;;;;;;;;;;;;;;;;;;;;
